title,price,location,surface,rooms,baths,link
Appt 3 ch salon à vendre à Val Fleuri,1800000,"Appartements dans Casablanca, Val Fleuri",126 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/val_fleuri/appartements/Appt_3_ch_salon_%C3%A0_vendre_%C3%A0_Val_Fleuri_56660584.htm
3 Chambres à vendre 143 m² à Californie,2255000,"Appartements dans Casablanca, Californie",143 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/californie/appartements/3_Chambres_%C3%A0_vendre_143_m%C2%B2_%C3%A0_Californie_56512306.htm
Appartement meublé 3 chambres à vendre Tanger,650000,"Appartements dans Tanger, Hay Hassani",70 m²,3 chambres,1 sdb,https://www.avito.ma/fr/hay_hassani/appartements/Appartement_meubl%C3%A9_3_chambres_%C3%A0_vendre_Tanger_57304897.htm
CMN-AN-1875 - Appartement à vendre à Bourgogne,1500000,"Appartements dans Casablanca, Bourgogne",113 m²,3 chambres,1 sdb,https://www.avito.ma/fr/bourgogne/appartements/CMN_AN_1875___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_57306326.htm
Appartement 100 m² Les Collines Sidi Maarouf,1180000,"Appartements dans Casablanca, Sidi Maarouf",100 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_100_m%C2%B2_Les_Collines_Sidi_Maarouf_57755840.htm
Appartement 67 m² à BOUSKOURA prix imbattable,690000,"Appartements dans Casablanca, Autre secteur",67 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_67_m%C2%B2_%C3%A0_BOUSKOURA_prix_imbattable_57595128.htm
Exclusivité- Appartement de standing CALIFORNIE,3500000,"Appartements dans Casablanca, Californie",,3 chambres,3 sdbs,https://www.avito.ma/fr/californie/appartements/Exclusivit%C3%A9__Appartement_de_standing_CALIFORNIE_57635735.htm
Appartement en vente 61m² à Gueliz Piscine Rooftop,1500000,"Appartements dans Marrakech, Guéliz",61 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vente_61m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57656300.htm
CMN-MA-2478 - Appartement à vendre à Burger,2200000,"Appartements dans Casablanca, Maarif",197 m²,4 chambres,1 sdb,https://www.avito.ma/fr/maarif/appartements/CMN_MA_2478___Appartement_%C3%A0_vendre_%C3%A0_Burger_57365012.htm
Appartement à vendre 60 m² à Marrakech,1200000,"Appartements dans Marrakech, Guéliz",appartement à vendre 60 m² à marrakech,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Marrakech_57585644.htm
Studio-Neuf/JamaisHabité/ 62M²/Tram Busway Ghandi,880000,"Appartements dans Casablanca, Maarif",62 m²,1 chambre,1 sdb,https://www.avito.ma/fr/maarif/appartements/Studio_Neuf_JamaisHabit%C3%A9__62M%C2%B2_Tram_Busway_Ghandi_57189622.htm
A vendre un appart de 4 chambres sans voisins,3400000,"Appartements dans Casablanca, Quartier des Hôpitaux",274 m²,4 chambres,3 sdbs,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/A_vendre_un_appart_de_4_chambres_sans_voisins_57375208.htm
Appartement 2 chambres corniche investisseurs airbnb,1100000,"Appartements dans Tanger, Malabata",75 m²,2 chambres,1 sdb,https://www.avito.ma/fr/malabata/appartements/Appartement_2_chambres_corniche_investisseurs_airbnb_57831155.htm
Appartement à vendre 51 m² à Casablanca,1000000,"Appartements dans Casablanca, Gauthier",51 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Casablanca_57808527.htm
